id,cat,r,g,b
2717,Alaska Arctic Bedrock and Talus,191,191,191
2718,Aleutian Mesic Alder-Salmonberry Shrubland,146,237,224
2719,Aleutian Crowberry-Herbaceous Heath,79,36,26
2720,Aleutian Mixed Dwarf-Shrub-Herbaceous Shrubland,212,129,34
2721,Aleutian Freshwater Aquatic Bed,255,153,0
2722,Aleutian Freshwater Marsh,255,153,0
2723,Aleutian Wet Meadow and Herbaceous Peatland,133,39,8
2724,Aleutian Nonvascular Peatland,133,39,8
2725,Aleutian Marine Beach and Beach Meadow,255,0,0
2726,Aleutian Tidal Marsh,255,153,10
2727,Aleutian Shrub and Herbaceous Meadow Floodplain,255,153,0
2728,Aleutian Floodplain Forest and Shrubland,18,76,135
2729,Aleutian Floodplain Wetland,255,153,0
2730,Aleutian Sparse Heath and Fell-Field,79,36,26
2731,Aleutian Oval-leaf Blueberry Shrubland,73,175,188
2732,Aleutian Volcanic Rock and Talus,191,191,191
2733,North Pacific Montane Massive Bedrock-Cliff and Talus,191,191,191
2734,North Pacific Alpine and Subalpine Bedrock and Scree,191,191,191
2735,North American Glacier and Ice Field,159,161,240
2740,Boreal Aquatic Beds,255,153,0
2741,Polar Tidal Marshes and Aquatic Beds,255,153,10
2742,"Temperate Pacific Tidal Marshes, Aquatic Beds, and Intertidal Flats",255,153,10
2743,Aleutian Herbaceous Wetlands,255,153,0
2744,Arctic Herbaceous Wetlands,255,153,0
2745,Boreal Herbaceous Wetlands,255,205,112
2746,Pacific Maritime Herbaceous Wetlands,255,153,0
2747,Arctic Sedge Meadows,255,205,112
2749,Pacific Maritime Coastal Meadows and Slough-Levee,255,0,0
2751,Boreal Coniferous Woody Wetland,79,36,26
2752,Pacific Maritime Coniferous Woody Wetland,79,36,26
2753,Boreal Coniferous-Deciduous Woody Wetland,182,250,277
2756,Arctic Dwarf Shrub Wetland,255,205,112
2757,Boreal Dwarf Shrub Wetland,150,58,12
2758,Pacific Maritime Dwarf Shrub Wetland,150,58,12
2761,Aleutian Floodplains,255,153,0
2762,Arctic Floodplains,18,76,135
2763,Boreal Floodplains,18,76,135
2764,Pacific Maritime Floodplains,18,76,135
2771,Aleutian Peatlands,133,39,8
2772,Arctic Peatlands,133,39,8
2773,Boreal Peatlands,133,39,8
2774,Pacific Maritime Peatlands,79,36,26
2776,Boreal Riparian Stringer Forest and Shrubland,18,76,135
2777,Boreal Shrub Swamp,166,76,17
2778,Pacific Maritime Shrub Swamp,166,76,17
2781,Arctic Sedge-Tussock-Lichen Tundra,255,49,18
2782,Boreal Tussock Tundra,255,73,28
2783,Arctic Tussock Tundra,255,73,28
2784,Arctic Shrub-Tussock Tundra,255,73,28
2785,Arctic Shrub Tundra,194,68,21
2786,Boreal Shrub-Tussock Tundra,255,73,28
2791,Aleutian Sparsely Vegetated,191,191,191
2792,Arctic Sparsely Vegetated,191,191,191
2793,Boreal Sparsely Vegetated,191,191,191
2794,Pacific Maritime Sparsely Vegetated,191,191,191
2806,Hawai'i Bog,255,114,48
2808,Hawai'i Lowland Rainforest,192,255,138
2809,Hawai'i Montane Cloud Forest,192,255,138
2810,Hawai'i Montane Rainforest,192,255,138
2811,Hawai'i Wet Cliff and Ridge Crest Shrubland,150,58,12
2813,Hawai'i Lowland Dry Forest,186,163,119
2814,Hawai'i Lowland Mesic Forest,0,92,0
2815,Hawai'i Montane-Subalpine Dry Forest and Woodland,186,163,119
2816,Hawai'i Montane-Subalpine Mesic Forest,0,92,0
2817,Hawai'i Lowland Dry Shrubland,156,128,92
2818,Hawai'i Lowland Mesic Shrubland,150,58,12
2819,Hawai'i Lowland Dry Grassland,251,121,54
2820,Hawai'i Lowland Mesic Grassland,255,114,48
2821,Hawai'i Montane-Subalpine Dry Shrubland,156,128,92
2822,Hawai'i Montane-Subalpine Dry Grassland,251,121,54
2823,Hawai'i Montane-Subalpine Mesic Grassland,255,114,48
2824,Hawai'i Alpine Dwarf-Shrubland,150,58,12
2825,Hawai'i Dry Cliff,156,128,92
2826,Hawai'i Dry Coastal Strand,150,58,12
2827,Hawai'i Wet-Mesic Coastal Strand,150,58,12
2828,Hawai'i Subalpine Mesic Shrubland,255,114,48
2829,Hawai'i Alpine Bedrock and Scree,191,191,191
2831,Hawai'i Dry-Site Lava Flow,191,191,191
2836,Hawaiian Introduced Wetland Vegetation-Tree,255,105,46
2837,Hawaiian Introduced Wetland Vegetation-Shrub,255,105,46
2838,Hawaiian Introduced Wetland Vegetation-Herbaceous,255,105,46
2845,Hawaiian Introduced Dry Forest,255,105,46
2846,Hawaiian Introduced Wet-Mesic Forest,255,105,46
2847,Hawaiian Introduced Deciduous Shrubland,255,105,46
2848,Hawaiian Introduced Perennial Grassland,255,105,46
2849,Hawaiian Introduced Evergreen Shrubland,255,105,46
2852,Introduced Coastal Wetland Vegetation - Tree,255,105,46
2853,Introduced Coastal Wetland Vegetation - Shrub,255,105,46
2854,Introduced Coastal Wetland Vegetation - Herbaceous,255,105,46
2855,Hawaiian Managed Tree Plantation,158,67,14
